year2,state,fsize,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,04,k) 5000 to 9999,142,743,36145,35074,60,8.2,42,5.7,5913,1682,4231,4.8,16.9,3770,1342,2428,3.8,10.7,2143,6.2,21.4,0,,,
1977,04,l) 10000+,308,2539,145881,149947,297,12,171,6.9,24709,7423,17286,5,16.5,32843,2562,30281,1.7,21.9,-8134,-5.4,33,0,,,
1977,05,a) 1 to 4,21042,21098,46522,44773,5433,26.4,4331,21,18488,13390,5098,29.9,41.3,14989,10200,4789,22.8,33.5,3499,7.8,67,1,3480,3487,
1977,05,b) 5 to 9,6781,6985,45524,44438,612,8.9,435,6.3,11810,5926,5884,13.3,26.6,9638,4525,5113,10.2,21.7,2172,4.9,43.4,0,307,317,3667
1977,05,c) 10 to 19,3723,4076,51224,50061,418,10.5,226,5.7,11821,5749,6072,11.5,23.6,9495,4416,5079,8.8,19,2326,4.6,38,0,123,128,3190
1977,05,d) 20 to 49,2047,2487,60121,58779,247,10.2,118,4.9,12517,5502,7015,9.4,21.3,9832,3718,6114,6.3,16.7,2685,4.6,33.4,0,49,51,2673
1977,05,e) 50 to 99,636,1011,39095,37808,96,9.8,27,2.8,6950,1858,5092,4.9,18.4,4375,1339,3036,3.5,11.6,2575,6.8,23.2,0,8,8,1085
1977,05,f) 100 to 249,361,872,36103,35670,105,12.5,42,5,5962,2545,3417,7.1,16.7,5095,2270,2825,6.4,14.3,867,2.4,28.6,1,3,3,
1977,05,g) 250 to 499,179,486,29600,28710,43,8.6,68,13.6,5522,1949,3573,6.8,19.2,3741,1491,2250,5.2,13,1781,6.2,26,0,,,
1977,05,h) 500 to 999,152,427,26988,26626,46,11.1,20,4.8,3561,626,2935,2.4,13.4,2837,708,2129,2.7,10.7,724,2.7,21.4,0,,,
1977,05,i) 1000 to 2499,170,699,36576,33093,83,12.3,36,5.3,9276,942,8334,2.8,28,2309,807,1502,2.4,7,6967,21,14,0,,,
1977,05,j) 2500 to 4999,131,381,31853,31105,22,5.8,13,3.5,3631,409,3222,1.3,11.7,2135,180,1955,0.6,6.9,1496,4.8,13.8,0,,,
1977,05,k) 5000 to 9999,119,492,34684,30803,28,5.6,36,7.3,10370,1006,9364,3.3,33.7,2607,972,1635,3.2,8.5,7763,25.2,17,0,,,
1977,05,l) 10000+,269,1688,112820,107846,158,9.5,103,6.2,19820,4625,15195,4.3,18.4,9872,1905,7967,1.8,9.2,9948,9.2,18.4,0,,,
1977,06,a) 1 to 4,212584,213619,485226,459264,60238,29.2,44278,21.4,210290,152291,57999,33.2,45.8,158365,112383,45982,24.5,34.5,51925,11.3,69,1,32790,32848,
1977,06,b) 5 to 9,72707,75546,507529,484907,9336,12.7,5651,7.7,163667,87328,76339,18,33.8,118422,63587,54835,13.1,24.4,45245,9.4,48.8,0,3823,3880,46817
1977,06,c) 10 to 19,39549,43862,565231,544612,5471,12.8,3175,7.4,163538,78272,85266,14.4,30,122299,66493,55806,12.2,22.5,41239,7.5,45,0,1853,1900,48829
1977,06,d) 20 to 49,23363,29846,734735,712780,3740,12.9,2155,7.4,193098,82862,110236,11.6,27.1,149188,77119,72069,10.8,20.9,43910,6.2,41.8,0,992,1046,55559
1977,06,e) 50 to 99,7417,12301,507436,485814,1741,14.7,800,6.8,125202,49881,75321,10.3,25.8,81957,36543,45414,7.5,16.9,43245,8.9,33.8,0,179,197,23268
1977,06,f) 100 to 249,3892,10184,490316,470852,1485,15.3,607,6.2,119093,46158,72935,9.8,25.3,80164,31284,48880,6.6,17,38929,8.3,34,0,55,58,15798
1977,06,g) 250 to 499,1438,5393,296967,279577,658,12.5,484,9.2,68125,25604,42521,9.2,24.4,33345,9882,23463,3.5,11.9,34780,12.5,23.8,0,,,
1977,06,h) 500 to 999,973,5683,299474,286131,700,12.6,427,7.7,62978,21929,41049,7.7,22,36291,11922,24369,4.2,12.7,26687,9.3,25.4,1,1,3,
1977,06,i) 1000 to 2499,871,6709,378457,365154,758,11.5,482,7.3,77723,21444,56279,5.9,21.3,51117,11738,39379,3.2,14,26606,7.3,28,0,,,
1977,06,j) 2500 to 4999,510,6576,315392,298840,870,13.7,438,6.9,67077,18628,48449,6.2,22.4,33972,12587,21385,4.2,11.4,33105,11,22.8,0,,,
1977,06,k) 5000 to 9999,379,4191,399046,349177,472,11.5,316,7.7,131937,34155,97782,9.8,37.8,32198,7393,24805,2.1,9.2,99739,28.6,18.4,0,,,
1977,06,l) 10000+,484,24856,1833497,1747855,2718,11.2,1776,7.3,356650,160612,196038,9.2,20.4,185367,47631,137736,2.7,10.6,171283,9.8,21.2,0,,,
1977,08,a) 1 to 4,29994,30092,68286,63459,9081,31.7,5962,20.8,31034,23199,7835,36.6,48.9,21379,14700,6679,23.2,33.7,9655,15.2,67.4,1,4705,4709,
1977,08,b) 5 to 9,9908,10251,68050,65528,1222,12.2,714,7.1,21319,11244,10075,17.2,32.5,16274,8077,8197,12.3,24.8,5045,7.7,49.6,0,560,564,6758
